Tiempo CPU Memoria
2024-04-13 23:42:06 18.2 16.9
2024-04-13 23:42:11 17.7 16.9
2024-04-13 23:42:16 17.3 16.9
2024-04-13 23:42:21 16.9 16.0
2024-04-13 23:42:26 16.5 16.0
2024-04-13 23:42:31 16.1 15.8
2024-04-13 23:42:36 15.7 15.5
2024-04-13 23:42:41 15.3 15.5
2024-04-13 23:42:47 14.9 15.5
2024-04-13 23:42:52 14.6 15.4
2024-04-13 23:42:57 14.3 15.4
2024-04-13 23:43:02 14.0 15.4
2024-04-13 23:43:07 14.0 14.5
2024-04-13 23:43:12 14.4 14.7
2024-04-13 23:43:17 14.7 14.7
2024-04-13 23:43:22 15.0 14.8
2024-04-13 23:43:28 15.1 14.8
2024-04-13 23:43:33 15.4 14.9
2024-04-13 23:43:38 15.6 14.9
2024-04-13 23:43:43 15.8 14.9
2024-04-13 23:43:48 15.9 14.9
2024-04-13 23:43:53 16.0 14.9
2024-04-13 23:43:58 16.2 14.4
2024-04-13 23:44:03 16.5 14.7
2024-04-13 23:44:09 16.6 14.9
2024-04-13 23:44:14 16.7 14.9
2024-04-13 23:44:19 16.8 14.9
2024-04-13 23:44:25 17.0 14.7
2024-04-13 23:44:30 17.1 14.7
2024-04-13 23:44:35 17.4 14.6
2024-04-13 23:44:40 17.4 14.6
2024-04-13 23:44:46 17.5 14.6
2024-04-13 23:44:51 17.5 14.6
2024-04-13 23:44:56 17.6 14.6
2024-04-13 23:45:01 17.5 14.6
2024-04-13 23:45:06 17.3 14.6
2024-04-13 23:45:11 17.1 14.6
2024-04-13 23:45:16 16.9 14.6
2024-04-13 23:45:21 16.7 14.6
2024-04-13 23:45:26 16.4 14.6
2024-04-13 23:45:32 16.2 14.6
2024-04-13 23:45:37 16.0 14.6
2024-04-13 23:45:42 15.8 14.6
2024-04-13 23:45:47 15.6 14.6
2024-04-13 23:45:52 15.5 14.6
2024-04-13 23:45:57 15.3 14.6
2024-04-13 23:46:02 15.1 14.6
2024-04-13 23:46:07 14.9 14.6
2024-04-13 23:46:12 14.8 14.6
2024-04-13 23:46:17 14.6 14.6
2024-04-13 23:46:22 14.4 14.6
2024-04-13 23:46:28 14.3 14.6
2024-04-13 23:46:33 14.1 14.6
2024-04-13 23:46:38 14.0 14.6
2024-04-13 23:46:43 13.8 14.6
2024-04-13 23:46:48 13.7 14.6
2024-04-13 23:46:53 13.6 14.6
2024-04-13 23:46:58 13.5 13.9
2024-04-13 23:47:03 13.5 13.9
2024-04-13 23:47:09 13.5 14.0
2024-04-13 23:47:14 13.5 14.0
2024-04-13 23:47:19 13.7 13.7
2024-04-13 23:47:24 13.8 13.9
2024-04-13 23:47:29 13.9 13.9
2024-04-13 23:47:34 13.9 13.9
2024-04-13 23:47:40 13.9 13.9
2024-04-13 23:47:45 14.0 13.9
2024-04-13 23:47:50 14.0 14.0
2024-04-13 23:47:55 14.1 13.8
2024-04-13 23:48:01 14.2 13.8
2024-04-13 23:48:06 14.3 13.9
2024-04-13 23:48:12 14.3 14.0
2024-04-13 23:48:17 14.4 14.0
2024-04-13 23:48:22 14.5 14.0
2024-04-13 23:48:27 14.6 14.0
2024-04-13 23:48:33 14.6 14.0
2024-04-13 23:48:38 14.7 14.0
2024-04-13 23:48:43 14.7 13.7
2024-04-13 23:48:48 14.8 14.0
2024-04-13 23:48:53 14.9 13.9
2024-04-13 23:48:59 15.0 14.1
2024-04-13 23:49:04 15.1 14.6
2024-04-13 23:49:09 15.1 14.5
2024-04-13 23:49:14 15.2 14.8
2024-04-13 23:49:19 15.2 14.8
2024-04-13 23:49:25 15.4 14.7
2024-04-13 23:49:30 15.4 14.5
2024-04-13 23:49:35 15.4 14.5
2024-04-13 23:49:40 15.4 14.5
2024-04-13 23:49:45 15.4 14.5
2024-04-13 23:49:51 15.4 14.4
2024-04-13 23:49:56 15.4 14.4
2024-04-13 23:50:01 15.4 14.4
2024-04-13 23:50:06 15.5 14.4
2024-04-13 23:50:11 15.4 14.4
2024-04-13 23:50:17 15.4 14.4
2024-04-13 23:50:22 15.4 14.4
2024-04-13 23:50:27 15.4 14.4
2024-04-13 23:50:32 15.4 14.4
2024-04-13 23:50:37 15.4 14.4
2024-04-13 23:50:42 15.4 14.4
2024-04-13 23:50:47 15.4 14.4
2024-04-13 23:50:53 15.4 14.4
2024-04-13 23:50:58 15.4 14.4
2024-04-13 23:51:03 15.4 14.4
2024-04-13 23:51:08 15.3 14.4
2024-04-13 23:51:13 15.3 14.4
2024-04-13 23:51:18 15.3 14.4
2024-04-13 23:51:23 15.4 14.4
2024-04-13 23:51:28 15.3 14.4
2024-04-13 23:51:34 15.3 14.4
2024-04-13 23:51:39 15.3 14.4
2024-04-13 23:51:44 15.3 14.4
2024-04-13 23:51:49 15.4 14.4
2024-04-13 23:51:54 15.4 14.4
2024-04-13 23:51:59 15.4 14.4
2024-04-13 23:52:05 15.5 14.4
2024-04-13 23:52:10 15.6 14.4
2024-04-13 23:52:15 15.6 14.4
2024-04-13 23:52:21 15.6 14.3
2024-04-13 23:52:26 15.7 14.4
2024-04-13 23:52:31 15.7 14.3
2024-04-13 23:52:36 15.7 14.3
2024-04-13 23:52:41 15.7 14.3
2024-04-13 23:52:46 15.7 14.2
2024-04-13 23:52:51 15.7 14.2
2024-04-13 23:52:57 15.7 14.1
2024-04-13 23:53:02 15.8 14.1
2024-04-13 23:53:07 15.9 14.7
2024-04-13 23:53:13 15.9 14.8
2024-04-13 23:53:18 15.9 14.2
2024-04-13 23:53:23 16.0 14.1
2024-04-13 23:53:28 16.0 14.3
2024-04-13 23:53:33 16.1 14.3
2024-04-13 23:53:38 16.1 14.3
2024-04-13 23:53:43 16.1 14.3
2024-04-13 23:53:49 16.1 14.3
2024-04-13 23:53:54 16.1 14.3
2024-04-13 23:53:59 16.2 14.3
2024-04-13 23:54:04 16.2 14.3
2024-04-13 23:54:09 16.2 14.3
2024-04-13 23:54:14 16.3 14.5
2024-04-13 23:54:20 16.3 14.8
2024-04-13 23:54:25 16.3 14.6
2024-04-13 23:54:30 16.3 14.4
2024-04-13 23:54:35 16.4 14.4
2024-04-13 23:54:40 16.3 14.4
2024-04-13 23:54:45 16.3 14.4
2024-04-13 23:54:50 16.2 14.3
2024-04-13 23:54:56 16.2 14.3
2024-04-13 23:55:01 16.1 14.2
2024-04-13 23:55:06 16.0 14.2
2024-04-13 23:55:11 15.9 14.3
2024-04-13 23:55:16 15.8 14.3
2024-04-13 23:55:21 15.8 14.3
2024-04-13 23:55:26 15.7 14.3
2024-04-13 23:55:31 15.6 14.3
2024-04-13 23:55:36 15.5 14.3
2024-04-13 23:55:41 15.5 14.3
2024-04-13 23:55:46 15.4 14.3
2024-04-13 23:55:51 15.3 14.2
2024-04-13 23:55:56 15.2 14.2
2024-04-13 23:56:02 15.1 14.2
2024-04-13 23:56:07 15.1 14.3
